10.24,14.18485,20.015,46.5619,15.67478674,0.872938764,5.625449576
10,10.24,15,43.649,11.94652319,1.431010677,2.585233353
10,10.4294,14.606925,34.4081,12.88450917,1.17563963,4.050511442
10.7209,15,17.4988,81.36,15.24775154,1.436571573,5.115859908
10,10,10.94685,47.0117,11.31646036,2.901391843,2.653287939
11.2598,16.60245,27.95075,95.2196,22.95827555,1.58841523,15.7601819
10.4298,15.4688,24.186475,44.0149,18.52802172,0.939860901,8.805768724
11.218275,20,27.3207,95.116,23.15092074,1.491670338,14.99358276
11.2407,19.0219,31.8966,96.5563,25.19338322,1.265070652,16.94654652
10,10,15,76.1463,12.51580643,4.26891712,5.189721571
